"LOCATION","Country","VAR","Variable","EDI","Edition","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1969-01","Jan-1969","IDX","Index","0","Units",,,22.48,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1969-02","Feb-1969","IDX","Index","0","Units",,,22.71,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1969-03","Mar-1969","IDX","Index","0","Units",,,22.93,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1969-04","Apr-1969","IDX","Index","0","Units",,,22.88,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1969-05","May-1969","IDX","Index","0","Units",,,23.43,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1969-06","Jun-1969","IDX","Index","0","Units",,,23.93,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1969-07","Jul-1969","IDX","Index","0","Units",,,23.89,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1969-08","Aug-1969","IDX","Index","0","Units",,,24.41,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1969-09","Sep-1969","IDX","Index","0","Units",,,24.31,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1969-10","Oct-1969","IDX","Index","0","Units",,,24.46,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1969-11","Nov-1969","IDX","Index","0","Units",,,25.03,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1969-12","Dec-1969","IDX","Index","0","Units",,,22.92,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1970-01","Jan-1970","IDX","Index","0","Units",,,24.23,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1970-02","Feb-1970","IDX","Index","0","Units",,,25.21,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1970-03","Mar-1970","IDX","Index","0","Units",,,25.2,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1970-04","Apr-1970","IDX","Index","0","Units",,,25.38,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1970-05","May-1970","IDX","Index","0","Units",,,26.25,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1970-06","Jun-1970","IDX","Index","0","Units",,,25.53,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1970-07","Jul-1970","IDX","Index","0","Units",,,25.94,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1970-08","Aug-1970","IDX","Index","0","Units",,,26.3,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1970-09","Sep-1970","IDX","Index","0","Units",,,26.16,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1970-10","Oct-1970","IDX","Index","0","Units",,,26.39,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1970-11","Nov-1970","IDX","Index","0","Units",,,26.63,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1970-12","Dec-1970","IDX","Index","0","Units",,,25.21,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1971-01","Jan-1971","IDX","Index","0","Units",,,27.57,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1971-02","Feb-1971","IDX","Index","0","Units",,,27.1,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1971-03","Mar-1971","IDX","Index","0","Units",,,26.72,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1971-04","Apr-1971","IDX","Index","0","Units",,,27.03,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1971-05","May-1971","IDX","Index","0","Units",,,27.46,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1971-06","Jun-1971","IDX","Index","0","Units",,,26.97,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1971-07","Jul-1971","IDX","Index","0","Units",,,27.19,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1971-08","Aug-1971","IDX","Index","0","Units",,,27.29,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1971-09","Sep-1971","IDX","Index","0","Units",,,27.34,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1971-10","Oct-1971","IDX","Index","0","Units",,,27.68,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1971-11","Nov-1971","IDX","Index","0","Units",,,27.29,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1971-12","Dec-1971","IDX","Index","0","Units",,,27.94,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1972-01","Jan-1972","IDX","Index","0","Units",,,28.52,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1972-02","Feb-1972","IDX","Index","0","Units",,,27.62,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1972-03","Mar-1972","IDX","Index","0","Units",,,28.33,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1972-04","Apr-1972","IDX","Index","0","Units",,,28.83,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1972-05","May-1972","IDX","Index","0","Units",,,28.47,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1972-06","Jun-1972","IDX","Index","0","Units",,,28.79,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1972-07","Jul-1972","IDX","Index","0","Units",,,29.14,,
